Chi^2;Size;Entropy;Pi Error;Termination
30453.5;13665;5.1215;0.998511;h
581584;7328;3.29428;0.11596;o
73.3333;102;4.58437;1;csv
258438;315296541;7.99941;0.574916;7z
2231;282;6.49966;0.434116;7z
284.767;5577296;7.99996;0.573982;128-ecb
254.018;5577296;7.99997;0.576572;256-ecb
2.98805e+06;64352;4.98627;0.35325;/home/xqsme/Git/build-cryptoFinder-Desktop-Release/cryptoFinder
12513.4;3360;5.15659;1;cpp
540.125;401;4.80295;0.951029;csv
258438;315296541;7.99941;0.574916;7z
2231;282;6.49966;0.434116;7z
284.767;5577296;7.99996;0.573982;128-ecb
254.018;5577296;7.99997;0.576572;256-ecb
2.49285e+06;36768;4.00777;0.222648;o
545699;7032;3.2484;0.0971574;o
292.714;301;4.81996;1;sh
3006;253;6.07148;0.761268;7z
630;327;7.16259;0.393695;7z
262.67;5577296;7.99997;0.575162;192-cbc
16560.3;1530239;7.99308;0.576931;jpg
127000;46151;4.89108;1;/home/xqsme/Git/build-cryptoFinder-Desktop-Release/Makefile
15843.9;3880;5.0991;1;cpp
1.10981e+06;16456;4.09739;0.170971;o
292.714;301;4.81996;1;sh
75381.7;29617;7.44127;0.633565;jar
233.837;5577296;7.99997;0.573792;192-ecb
82153.6;5577266;7.98931;0.574949;png
