Entropy 2-grams	Chi^2 2-grams	Entropy 3-grams	Chi^2 3-grams	Entropy 4-grams	Chi^2 4-grams	Size	Termination	File Command
7.63151	377	7.78456	265	7.83029	206	376	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
7.67737	370	7.79709	283	7.88117	228	391	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.67737	370	7.79709	283	7.88117	228	391	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.67737	370	7.79709	283	7.88117	228	391	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.67737	370	7.79709	283	7.88117	228	391	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.67737	370	7.79709	283	7.88117	228	391	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
7.67737	370	7.79709	283	7.88117	228	391	png	PNG image data, 36 x 36, 8-bit gray+alpha, non-interlaced
8.10509	367	8.27377	890	8.43126	706	711	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.10509	367	8.27377	890	8.43126	706	711	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.10509	367	8.27377	890	8.43126	706	711	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.10509	367	8.27377	890	8.43126	706	711	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.10509	367	8.27377	890	8.43126	706	711	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.10509	367	8.27377	890	8.43126	706	711	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
8.10509	367	8.27377	890	8.43126	706	711	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
