Chi^2;Size;Entropy;Pi Error;Termination
30453.4;13665;5.1215;0.938784;h
581583;7328;3.29429;0.0220314;o
2222.24;1130;4.59048;0.952718;csv
258438;315296541;7.99941;0.147362;7z
2231;282;6.49965;0.0158826;7z
284.767;5577296;7.99997;0.148223;128-ecb
254.019;5577296;7.99997;0.148773;256-ecb
2.98997e+06;64352;4.98515;0.0478155;/home/xqsme/Git/build-cryptoFinder-Desktop-Release/cryptoFinder
12513.4;3360;5.15659;0.723752;cpp
2197.75;1093;4.58616;0.968605;csv
292.714;301;4.81996;0.949575;sh
3006;253;6.07148;0.00361235;7z
630;327;7.16259;0.0655123;7z
262.67;5577296;7.99996;0.147624;192-cbc
16560.3;1530239;7.99308;0.149405;jpg
2.49284e+06;36768;4.00777;0.112111;o
545699;7032;3.2484;0.0233717;o
1336.69;692;4.56486;0.955905;csv
1.10981e+06;16456;4.09739;0.04997;o
292.714;301;4.81996;0.949575;sh
75381.7;29617;7.44126;0.238352;jar
233.837;5577296;7.99997;0.148249;192-ecb
82153.5;5577266;7.98931;0.150717;png
127000;46151;4.89108;0.929982;/home/xqsme/Git/build-cryptoFinder-Desktop-Release/Makefile
15843.9;3880;5.0991;0.722524;cpp
2450.23;1205;4.56476;0.968327;csv
1.84152e+06;31456;4.4585;0.0345223;o
148.5;463;7.55279;0.170341;gpg
287.182;5577296;7.99996;0.149172;128-cbc
228.127;5577296;7.99997;0.148841;256-cbc
258.85;5579459;7.99997;0.150152;gpg
