Size	Entropy	Chi^2	Pi Error	Termination	Command
368	7.18824	274/374	0.120119	png	PNG image data, 25 x 25, 8-bit gray+alpha, non-interlaced
368	7.18824	274/374	0.120119	png	PNG image data, 25 x 25, 8-bit gray+alpha, non-interlaced
368	7.18824	274/374	0.120119	png	PNG image data, 25 x 25, 8-bit gray+alpha, non-interlaced
382	7.17402	286/374	0.124648	png	PNG image data, 25 x 25, 8-bit gray+alpha, non-interlaced
382	7.17402	286/374	0.124648	png	PNG image data, 25 x 25, 8-bit gray+alpha, non-interlaced
382	7.17402	286/374	0.124648	png	PNG image data, 25 x 25, 8-bit gray+alpha, non-interlaced
355	7.1325	255.5/374	0.15474	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
355	7.1325	255.5/374	0.15474	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
355	7.1325	255.5/374	0.15474	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
355	7.1325	255.5/374	0.15474	png	PNG image data, 32 x 32, 8-bit/color RGBA, non-interlaced
373	7.13046	339.5/374	0.113825	png	PNG image data, 18 x 32, 8-bit/color RGBA, non-interlaced
373	7.13046	339.5/374	0.113825	png	PNG image data, 18 x 32, 8-bit/color RGBA, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
369	7.10255	338.5/374	0.151174	png	PNG image data, 72 x 72, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
