Size	Entropy	Chi^2	Pi Error	Termination	Command
170013	7.99845	367.89/384	0.148178	aar	Zip archive data, at least v2.0 to extract
159662	7.99843	349.124/383	0.149419	aar	Zip archive data, at least v2.0 to extract
167853	7.99841	369.806/384	0.149118	aar	Zip archive data, at least v2.0 to extract
165885	7.9984	368.957/383	0.150767	aar	Zip archive data, at least v1.0 to extract
158024	7.99838	352.285/383	0.145364	aar	Zip archive data, at least v2.0 to extract
156712	7.99836	353.049/383	0.147428	aar	Zip archive data, at least v2.0 to extract
149239	7.99834	344.933/383	0.158408	aar	Zip archive data, at least v2.0 to extract
156692	7.99833	361.363/383	0.150361	aar	Zip archive data, at least v2.0 to extract
155989	7.99828	374.34/383	0.146072	aar	Zip archive data, at least v1.0 to extract
159662	7.99828	380.337/383	0.1443	aar	Zip archive data, at least v2.0 to extract
157858	7.99826	379.867/383	0.14781	aar	Zip archive data, at least v2.0 to extract
95409	7.99822	237.508/380	0.151214	aar	Zip archive data, at least v1.0 to extract
117960	7.99819	296.596/381	0.150763	aar	Zip archive data, at least v2.0 to extract
149320	7.99819	374.964/383	0.158737	aar	Zip archive data, at least v2.0 to extract
127419	7.99817	323.221/382	0.151423	aar	Zip archive data, at least v1.0 to extract
123144	7.99816	313.405/381	0.149416	aar	Zip archive data, at least v1.0 to extract
129205	7.99814	333.117/382	0.148769	aar	Zip archive data, at least v1.0 to extract
117205	7.99812	305.714/381	0.149577	aar	Zip archive data, at least v2.0 to extract
118123	7.99808	315.633/381	0.150559	aar	Zip archive data, at least v2.0 to extract
128402	7.99807	343.637/382	0.147812	aar	Zip archive data, at least v1.0 to extract
102157	7.99806	275.917/380	0.151286	aar	Zip archive data, at least v2.0 to extract
122789	7.99806	328.699/381	0.151132	aar	Zip archive data, at least v1.0 to extract
96034	7.99804	262.389/380	0.148562	aar	Zip archive data, at least v2.0 to extract
118015	7.99804	322.385/381	0.15263	aar	Zip archive data, at least v2.0 to extract
109649	7.99803	302.007/381	0.147783	aar	Zip archive data, at least v1.0 to extract
114232	7.99801	317.036/381	0.144899	aar	Zip archive data, at least v1.0 to extract
123122	7.99798	344.629/381	0.147254	aar	Zip archive data, at least v1.0 to extract
94872	7.99796	270.481/380	0.153737	aar	Zip archive data, at least v2.0 to extract
115904	7.99792	343.597/381	0.146911	aar	Zip archive data, at least v2.0 to extract
112083	7.99791	328.185/381	0.148118	aar	Zip archive data, at least v1.0 to extract
115909	7.99791	346.078/381	0.140958	aar	Zip archive data, at least v2.0 to extract
94881	7.99789	278.867/380	0.145202	aar	Zip archive data, at least v2.0 to extract
102446	7.99789	304.46/380	0.15177	aar	Zip archive data, at least v2.0 to extract
98997	7.99788	295.65/380	0.155508	aar	Zip archive data, at least v2.0 to extract
103781	7.99788	305.805/381	0.14472	aar	Zip archive data, at least v2.0 to extract
98930	7.99787	298.114/380	0.150852	aar	Zip archive data, at least v2.0 to extract
120212	7.99784	377.949/381	0.145899	aar	Zip archive data, at least v1.0 to extract
116051	7.99783	357.084/381	0.145951	aar	Zip archive data, at least v2.0 to extract
83930	7.99782	255.688/380	0.155057	aar	Zip archive data, at least v2.0 to extract
102240	7.99781	309.985/380	0.145719	aar	Zip archive data, at least v2.0 to extract
98551	7.9978	304.409/380	0.153757	aar	Zip archive data, at least v2.0 to extract
101930	7.99779	313.709/380	0.151149	aar	Zip archive data, at least v2.0 to extract
101933	7.99779	313.857/380	0.150799	aar	Zip archive data, at least v2.0 to extract
102205	7.99778	315.712/380	0.152581	aar	Zip archive data, at least v2.0 to extract
102205	7.99778	316.358/380	0.152619	aar	Zip archive data, at least v2.0 to extract
95825	7.99777	298.201/380	0.150164	aar	Zip archive data, at least v2.0 to extract
102392	7.99776	322.817/380	0.149644	aar	Zip archive data, at least v2.0 to extract
102392	7.99776	323.428/380	0.149495	aar	Zip archive data, at least v2.0 to extract
115972	7.99776	359.126/381	0.145048	aar	Zip archive data, at least v1.0 to extract
118819	7.99776	370.459/381	0.149363	aar	Zip archive data, at least v1.0 to extract
114048	7.99775	364.535/381	0.144978	aar	Zip archive data, at least v1.0 to extract
114580	7.99773	371.401/381	0.144895	aar	Zip archive data, at least v1.0 to extract
96137	7.99772	306.6/380	0.151213	aar	Zip archive data, at least v2.0 to extract
102240	7.99772	324.301/380	0.149978	aar	Zip archive data, at least v2.0 to extract
102194	7.99772	324.612/380	0.142502	aar	Zip archive data, at least v2.0 to extract
96104	7.9977	308.464/380	0.144642	aar	Zip archive data, at least v2.0 to extract
102469	7.9977	329.353/380	0.154243	aar	Zip archive data, at least v2.0 to extract
113841	7.9977	374.705/381	0.151241	aar	Zip archive data, at least v1.0 to extract
96026	7.99769	307.408/380	0.145658	aar	Zip archive data, at least v2.0 to extract
