Chi^2;Size;Entropy;Pi Error;Termination
30453.5;13665;5.1215;0.991057;h
581584;7328;3.29428;0.0167846;o
292.714;301;4.81996;0.983247;sh
3006;253;6.07148;0.204225;7z
630;327;7.16259;0.0838886;7z
262.67;5577296;7.99997;0.234218;192-cbc
16560.3;1530239;7.99308;0.238309;jpg
2.99011e+06;64352;4.98561;0.085512;/home/xqsme/Git/build-cryptoFinder-Desktop-Release/cryptoFinder
12513.4;3360;5.15659;0.909054;cpp
2197.75;1093;4.58616;0.995353;csv
1.10981e+06;16456;4.09739;0.0318378;o
292.714;301;4.81996;0.983247;sh
75381.7;29617;7.44126;0.314806;jar
233.837;5577296;7.99997;0.23466;192-ecb
82153.5;5577266;7.98931;0.234851;png
2.49285e+06;36768;4.00777;0.099956;o
545699;7032;3.2484;0.024096;o
1293.85;687;4.58312;1;csv
1.83957e+06;31440;4.4589;0.0216694;o
148.5;463;7.55279;0.253618;gpg
287.182;5577296;7.99996;0.235672;128-cbc
228.127;5577296;7.99997;0.234682;256-cbc
258.85;5579459;7.99997;0.235571;gpg
127000;46151;4.89108;0.964356;/home/xqsme/Git/build-cryptoFinder-Desktop-Release/Makefile
15843.9;3880;5.0991;0.883177;cpp
2222.24;1130;4.59047;0.995501;csv
258438;315296541;7.99941;0.234064;7z
2231;282;6.49965;0.0854195;7z
284.767;5577296;7.99996;0.234665;128-ecb
254.019;5577296;7.99997;0.235396;256-ecb
