Chi^2;Size;Entropy;Termination
354.668;708;7.62584;png
321.833;1637;7.86928;png
387;108;5.56319;png
365;2068;7.88669;png
417.194;8005;7.96313;png
402.75;1099;7.77003;png
407.5;1090;7.76883;png
355.923;13362;7.98125;png
429;167;6.28809;png
426;169;6.37137;png
428.333;1750;7.85578;png
435.714;1954;7.86999;png
380.91;2980;7.91916;png
390.5;251;6.44183;png
345.833;1567;7.8466;png
399.5;2046;7.87012;png
420.6;1278;7.7719;png
438.5;2260;7.88452;png
413.25;1119;7.7527;png
430;110;5.54728;png
425;114;5.67058;png
395.059;4498;7.94321;png
400.934;3934;7.93111;png
444.563;4291;7.93065;png
377.286;1975;7.88612;png
404.556;2525;7.90583;png
361.4;2608;7.9084;png
405.063;4161;7.93666;png
377.833;6272;7.95867;png
444.5;465;7.33694;png
428.668;717;7.61506;png
380;134;5.92251;png
410;122;5.66051;png
388;168;6.36405;png
372;133;5.9258;png
422;133;5.83762;png
369.889;4694;7.94501;png
443.25;1007;7.70295;png
412.668;726;7.61163;png
421;1222;7.82777;png
388.4;3914;7.93432;png
394.643;3669;7.93213;png
335;3622;7.93682;png
382.5;3290;7.9299;png
363.143;1868;7.86889;png
386.889;2532;7.90826;png
408.428;1798;7.84232;png
403.25;1025;7.73441;png
405.778;2508;7.90343;png
445.001;839;7.68641;png
393.534;4039;7.93578;png
355.154;3339;7.92592;png
376.6;1301;7.81354;png
402;388;7.17221;png
377.5;399;7.22166;png
282.5;415;7.38021;png
400.5;357;6.92768;png
255.5;355;7.1325;png
365.666;1558;7.85255;png
346.909;2996;7.92482;png
438.668;792;7.62544;png
390;996;7.73486;png
414;374;7.12274;png
339.857;1797;7.86899;png
399.5;447;7.35886;png
441;151;5.97955;png
449.75;1089;7.77233;png
349.181;5634;7.95798;png
427.75;1061;7.7611;png
441.125;2229;7.87505;png
426.417;3159;7.91456;png
449.065;7985;7.96072;png
405.149;6971;7.95948;png
372.25;1045;7.74676;png
428.667;887;7.67037;png
375.834;3160;7.92092;png
346.848;11807;7.97916;png
423.667;659;7.46676;png
412;126;5.71353;png
401.667;2449;7.90061;png
411;127;5.75271;png
404;114;5.613;png
448.2;1291;7.72532;png
430;3342;7.91989;png
371.5;449;7.35692;png
382;384;7.10867;png
371.5;449;7.35692;png
382;384;7.10867;png
371.5;449;7.35692;png
382;384;7.10867;png
371.5;449;7.35692;png
382;384;7.10867;png
371.5;449;7.35692;png
382;384;7.10867;png
437;146;5.96402;png
437;146;5.91775;png
447.143;1986;7.87546;png
416.25;1077;7.73525;png
381.087;5951;7.95434;png
333.684;4988;7.95485;png
422.2;2588;7.88444;png
306.2;2602;7.91711;png
403.125;2081;7.8744;png
341.588;4549;7.95061;png
396.5;431;7.28705;png
409.143;1877;7.86323;png
372;3986;7.94035;png
384.5;395;7.17674;png
443.6;1445;7.81041;png
254.5;409;7.34492;png
413.68;6640;7.9586;png
430.334;784;7.65125;png
367.875;2079;7.8779;png
316;426;7.39322;png
357.001;699;7.58136;png
369.5;467;7.28723;png
391;472;7.39046;png
435.5;2136;7.87009;png
317.214;7374;7.97081;png
423.5;469;7.35857;png
447.75;1187;7.7825;png
390.001;729;7.60681;png
401;1056;7.75564;png
426.332;1672;7.85577;png
432;167;6.33381;png
384.5;2082;7.87671;png
388.778;2473;7.90468;png
449.5;537;7.45406;png
436.2;1357;7.80135;png
382.143;1949;7.88325;png
385;998;7.71609;png
342.6;1311;7.81747;png
434;111;5.52862;png
423.499;1573;7.82051;png
337.412;4494;7.95016;png
392;4258;7.93687;png
424;1128;7.76849;png
435.286;1779;7.82878;png
365.4;2694;7.91501;png
396.556;2477;7.90546;png
428.654;6863;7.95798;png
428.875;4180;7.92816;png
404.749;6234;7.95483;png
424.332;1748;7.8675;png
419.999;1700;7.87328;png
444.5;415;7.22293;png
311.909;2855;7.92431;png
428.668;717;7.61506;png
380;134;5.92251;png
410;122;5.66051;png
388;168;6.36405;png
372;133;5.9258;png
422;133;5.83762;png
369.889;4694;7.94501;png
443.25;1007;7.70295;png
412.668;726;7.61163;png
421;1222;7.82777;png
388.4;3914;7.93432;png
394.643;3669;7.93213;png
335;3622;7.93682;png
382.5;3290;7.9299;png
363.143;1868;7.86889;png
386.889;2532;7.90826;png
408.428;1798;7.84232;png
403.25;1025;7.73441;png
405.778;2508;7.90343;png
292.5;423;7.38608;png
327.8;3875;7.94146;png
334.917;3213;7.932;png
424.25;1205;7.81624;png
401.5;353;7.02527;png
400.5;401;7.20477;png
449;438;7.23922;png
268.5;421;7.3813;png
371;332;6.87879;png
340.5;351;7.06029;png
393.5;315;6.7742;png
393.125;2103;7.87036;png
399.647;4520;7.94498;png
401.4;1325;7.80928;png
384.6;1401;7.83341;png
431;163;6.28294;png
270;404;7.3123;png
433;161;6.18916;png
326.5;533;7.52946;png
413;266;6.58674;png
441;151;6.07292;png
420.5;1084;7.78918;png
426.668;791;7.65421;png
395;109;5.50017;png
430;112;5.59295;png
391.412;4388;7.94327;png
411.499;1623;7.84309;png
412.418;3075;7.91263;png
439.5;197;5.88649;png
359.774;7989;7.96808;png
403.7;2575;7.89232;png
372.25;1045;7.74676;png
428.667;887;7.67037;png
337.556;2448;7.91002;png
413;2074;7.86957;png
433.25;1057;7.73494;png
